Date,Open,High,Low,Close,Volume,Adj Close
2015-05-18,391.3,396.55,387.1,393.7,114700,389.8
2015-05-19,393.6,399.45,388.0,390.25,112600,386.38
2015-05-20,393.9,396.0,389.35,390.65,84300,386.78
2015-05-21,391.7,393.6,384.0,387.15,98600,383.32
2015-05-22,389.1,393.9,387.25,390.2,87100,386.34
2015-05-25,390.0,392.75,384.75,385.85,58900,382.03
2015-05-26,387.05,393.9,383.25,391.4,63200,387.52
2015-05-27,387.95,394.9,386.15,389.0,68400,385.15
2015-05-28,389.65,392.0,385.8,390.05,75000,386.19
2015-05-29,391.9,409.75,390.05,407.05,462700,403.02
2015-06-01,406.5,418.65,403.0,412.9,211100,408.81
2015-06-02,412.85,414.4,388.8,391.1,191400,387.23
2015-06-03,390.0,390.5,357.95,371.95,199100,368.27
2015-06-04,373.4,379.8,366.2,377.15,78000,373.41
2015-06-05,376.0,387.0,373.95,381.1,53000,377.33
2015-06-08,382.25,382.25,370.0,371.5,61500,367.82
2015-06-09,368.0,374.15,360.4,363.1,80700,359.5
2015-06-10,363.1,371.8,363.1,367.8,68500,364.16
2015-06-11,370.8,373.2,351.0,355.3,110400,351.78
2015-06-12,359.5,359.8,348.0,356.85,76900,353.32
2015-06-15,358.55,371.0,358.5,368.25,95100,364.6
2015-06-16,368.25,372.1,364.8,370.7,76200,367.03
2015-06-17,372.0,379.5,370.6,373.0,70000,369.31
2015-06-18,374.55,381.0,374.0,377.1,67400,373.36
2015-06-19,380.15,391.0,372.85,388.8,138200,384.95
2015-06-22,391.8,406.9,385.15,402.7,156800,398.71
2015-06-23,408.0,409.95,392.55,395.3,121300,391.38
2015-06-24,395.45,397.95,387.0,389.3,54900,385.44
2015-06-25,389.7,390.4,382.35,385.0,60400,381.19
2015-06-26,382.2,393.95,381.5,385.45,87600,381.63
2015-06-29,362.3,380.85,362.3,377.95,82400,374.21
2015-06-30,379.35,400.0,372.0,380.55,66000,376.78
2015-07-01,383.35,393.9,381.9,387.7,74300,383.86
2015-07-02,391.85,409.0,385.7,405.95,222800,401.93
2015-07-03,419.0,435.0,405.95,409.0,554900,404.95
2015-07-06,401.0,414.9,395.0,413.2,116400,409.11
2015-07-07,416.35,418.4,406.0,413.0,162000,408.91
2015-07-08,405.0,411.7,399.25,402.5,97400,398.51
2015-07-09,401.25,408.9,396.0,397.45,78400,393.51
2015-07-10,400.85,404.35,391.15,394.6,65000,392.87
2015-07-13,397.65,412.0,394.0,408.4,142500,406.61
2015-07-14,411.8,414.7,402.8,406.95,194600,405.16
2015-07-15,414.0,444.8,414.0,431.75,1104800,429.85
2015-07-16,434.8,437.8,427.7,429.15,170700,427.26
2015-07-17,425.55,448.9,420.1,446.7,478900,444.74
2015-07-20,448.0,450.0,431.1,432.75,182500,430.85
2015-07-21,433.75,435.7,415.15,418.75,90400,416.91
2015-07-22,418.0,428.35,414.7,425.35,73600,423.48
2015-07-23,428.5,429.7,421.45,422.6,56600,420.74
2015-07-24,420.0,425.0,415.3,416.95,65200,415.12
2015-07-27,415.0,419.0,408.95,410.35,168700,408.55
2015-07-28,412.8,415.7,408.2,410.95,66200,409.14
2015-07-29,412.0,419.0,406.25,411.65,177700,409.84
2015-07-30,412.85,418.0,408.1,409.75,74400,407.95
2015-07-31,409.8,415.0,409.8,413.3,83300,411.48
2015-08-03,416.4,430.0,416.0,422.95,236100,421.09
2015-08-04,425.0,442.0,420.3,423.4,593900,421.54
2015-08-05,424.55,427.95,411.95,419.5,299700,417.66
2015-08-06,420.0,422.75,415.0,416.6,68600,414.77
2015-08-07,415.8,419.8,412.5,413.5,90100,411.68
2015-08-10,413.5,415.8,408.1,410.05,115600,408.25
2015-08-11,410.9,414.45,403.4,404.7,44600,402.92
2015-08-12,400.1,404.8,394.0,394.2,70300,392.47
2015-08-13,397.8,400.5,384.0,384.55,132300,382.86
2015-08-14,387.75,405.15,380.05,396.55,169800,394.81
2015-08-17,404.0,410.0,393.15,407.45,71800,405.66
2015-08-18,412.0,412.4,400.8,403.0,38900,401.23
2015-08-19,402.55,405.0,397.0,399.25,94600,397.5
2015-08-20,399.7,403.8,396.0,396.2,60400,394.46
2015-08-21,392.2,392.2,383.5,390.3,57900,388.59
2015-08-24,384.3,384.3,335.0,348.65,211200,347.12
2015-08-25,350.05,364.9,321.0,358.05,138900,356.48
2015-08-26,355.1,355.5,342.35,347.4,107200,345.87
2015-08-27,360.0,370.0,353.4,364.7,97800,363.1
2015-08-28,371.5,373.9,364.0,369.7,140200,368.08
2015-08-31,369.0,369.8,356.0,360.2,186500,358.62
2015-09-01,354.55,359.7,347.5,348.7,112400,347.17
2015-09-02,355.8,358.0,342.5,343.7,62200,342.19
2015-09-03,349.7,350.0,345.6,348.55,34400,347.02
2015-09-04,349.4,353.0,338.05,349.45,71200,347.91
2015-09-07,351.0,355.0,342.05,348.65,106200,347.12
2015-09-08,346.0,348.0,336.0,345.8,140300,344.28
2015-09-09,350.15,358.8,350.0,355.3,72600,353.74
2015-09-10,341.6,364.8,339.5,356.55,58300,354.98
2015-09-11,360.0,363.9,350.1,359.3,69400,357.72
2015-09-14,359.0,367.5,356.0,363.4,184100,361.8
2015-09-15,365.0,368.7,358.7,361.0,104300,359.41
2015-09-16,364.0,368.0,360.0,363.2,46700,361.6
2015-09-17,363.2,363.2,363.2,363.2,0,361.6
2015-09-18,366.5,372.0,353.0,355.5,73100,353.94
2015-09-21,353.3,361.95,351.0,359.25,34200,357.67
2015-09-22,366.6,366.6,353.0,354.85,88500,353.29
2015-09-23,352.0,361.0,345.15,357.1,40400,355.53
2015-09-24,357.1,364.65,354.8,357.15,22600,355.58
2015-09-25,357.15,357.15,357.15,357.15,0,355.58
2015-09-28,359.8,362.7,353.0,355.05,24400,353.49
2015-09-29,353.0,365.0,349.0,361.45,118000,359.86
2015-09-30,364.0,373.55,362.5,369.0,56200,367.38
2015-10-01,372.9,374.9,357.2,369.35,54300,367.73
2015-10-02,369.35,369.35,369.35,369.35,0,367.73
2015-10-05,368.0,380.7,366.55,374.5,81000,372.85
2015-10-06,381.0,385.75,372.25,382.15,62200,380.47
2015-10-07,386.0,388.75,378.55,384.7,43300,383.01
2015-10-08,386.0,386.0,376.1,384.25,32400,382.56
2015-10-09,385.0,387.0,370.1,380.7,61200,379.03
2015-10-12,378.0,389.0,371.8,377.35,52400,375.69
2015-10-13,373.4,382.85,371.0,379.1,54200,377.43
2015-10-14,378.6,379.8,372.0,377.75,54500,376.09
2015-10-15,374.0,384.4,374.0,379.3,92800,377.63
2015-10-16,376.0,383.0,376.0,380.2,31900,378.53
2015-10-19,378.0,392.95,378.0,389.3,171400,387.59
2015-10-20,392.4,394.95,382.1,386.95,47800,385.25
2015-10-21,388.95,390.9,381.15,387.75,26200,386.05
2015-10-22,387.75,387.75,387.75,387.75,0,386.05
2015-10-23,388.0,391.95,378.1,382.3,52200,380.62
2015-10-26,380.0,384.75,378.0,380.45,27500,378.78
2015-10-27,380.0,381.85,375.0,376.65,27000,375.0
2015-10-28,376.25,378.4,370.0,370.5,29800,368.87
2015-10-29,367.05,372.5,363.0,364.65,28000,363.05
2015-10-30,367.4,368.7,355.6,360.05,39700,358.47
2015-11-02,358.0,364.9,352.3,360.35,81300,358.77
2015-11-03,372.0,382.0,372.0,376.45,330000,374.8
2015-11-04,379.0,384.0,372.5,375.25,65100,373.6
2015-11-05,373.0,377.5,370.0,371.2,26300,369.57
2015-11-06,372.85,376.9,368.15,373.5,38300,371.86
2015-11-09,364.0,375.8,360.05,373.5,32900,371.86
2015-11-10,375.0,376.2,370.0,373.65,41000,372.01
2015-11-11,373.65,373.65,373.65,373.65,0,372.01
2015-11-12,373.65,373.65,373.65,373.65,0,372.01
2015-11-13,385.0,385.0,373.0,374.75,62100,373.1
2015-11-16,365.05,380.0,365.05,378.85,28800,377.19
2015-11-17,379.05,384.5,379.0,382.45,63200,380.77
2015-11-18,384.0,384.0,376.55,377.95,29800,376.29
2015-11-19,386.0,386.0,376.6,380.9,27100,379.23
2015-11-20,383.5,384.05,378.2,382.1,24000,380.42
2015-11-23,384.9,384.9,376.0,377.85,40100,376.19
2015-11-24,376.0,384.5,375.0,380.7,50600,379.03
2015-11-25,380.7,380.7,380.7,380.7,0,379.03
2015-11-26,384.4,385.5,376.1,377.3,34400,375.64
2015-11-27,380.0,382.6,375.3,378.45,33900,376.79
2015-11-30,380.0,381.5,375.2,375.2,65500,373.55
2015-12-01,379.7,380.0,374.25,375.6,50500,373.95
2015-12-02,376.0,379.8,374.3,375.8,88600,374.15
2015-12-03,375.45,392.4,372.5,382.2,186500,380.52
2015-12-04,381.0,385.0,377.25,380.6,150000,378.93
2015-12-07,380.0,386.0,377.0,380.45,45200,378.78
2015-12-08,379.65,383.5,376.0,379.15,40800,377.48
2015-12-09,379.75,379.95,364.0,366.25,51600,364.64
2015-12-10,365.5,376.0,364.5,374.15,71600,372.51
2015-12-11,372.95,385.0,371.1,378.85,79400,377.19
2015-12-14,377.0,378.05,370.2,377.75,189800,376.09
2015-12-15,378.0,385.0,375.55,384.0,34500,382.31
2015-12-16,382.05,408.2,382.0,399.65,267200,397.89
2015-12-17,402.8,425.0,397.5,423.45,303000,421.59
2015-12-18,424.0,426.8,408.55,410.1,110200,408.3
2015-12-21,410.0,420.0,410.0,417.65,60400,415.82
2015-12-22,418.5,419.0,411.5,415.25,41800,413.43
2015-12-23,419.4,421.05,412.5,413.65,64500,411.83
2015-12-24,416.35,416.8,409.2,411.5,26700,409.69
2015-12-25,411.5,411.5,411.5,411.5,0,409.69
2015-12-28,412.0,422.5,412.0,414.25,83700,412.43
2015-12-29,418.9,420.0,412.1,413.5,74200,411.68
2015-12-30,416.7,423.8,412.15,413.5,106000,411.68
2015-12-31,414.95,417.5,412.0,414.95,62200,413.13
2016-01-01,412.35,419.0,412.35,417.2,85500,415.37
2016-01-04,416.7,425.5,412.5,416.35,147000,414.52
2016-01-05,419.8,430.8,414.25,426.95,276000,425.07
2016-01-06,432.0,438.0,424.5,427.5,353900,425.62
2016-01-07,423.8,423.8,400.05,402.95,300500,401.18
2016-01-08,404.6,418.8,404.6,410.2,163300,408.4
2016-01-11,407.45,412.9,401.3,410.5,50300,408.7
2016-01-12,414.75,414.8,401.0,403.0,103300,401.23
2016-01-13,407.0,409.0,385.45,396.6,174500,394.86
2016-01-14,387.0,394.8,382.8,387.4,76000,385.7
2016-01-15,388.95,395.0,375.5,381.5,78900,379.82
2016-01-18,389.95,389.95,365.0,367.85,100300,366.23
2016-01-19,369.9,379.75,368.0,378.3,60900,376.64
2016-01-20,374.0,375.0,365.0,368.8,78500,367.18
2016-01-21,370.5,376.7,366.8,369.3,37500,367.68
2016-01-22,371.9,383.0,370.0,381.2,50900,379.53
2016-01-25,384.9,388.2,382.05,384.45,38300,382.76
2016-01-26,384.45,384.45,384.45,384.45,0,382.76
2016-01-27,387.4,390.7,382.0,384.8,19100,383.11
2016-01-28,386.4,391.05,383.05,388.35,76700,386.64
2016-01-29,391.7,405.0,385.05,391.65,52300,389.93
2016-02-01,392.8,406.0,392.8,394.2,36100,392.47
2016-02-02,397.3,397.5,387.1,389.15,58300,387.44
2016-02-03,385.0,385.4,376.0,381.55,58100,379.87
2016-02-04,386.05,395.9,380.0,382.15,51000,380.47
2016-02-05,380.7,405.9,379.9,403.05,59800,401.28
2016-02-08,406.0,406.0,396.0,400.25,72600,398.49
2016-02-09,396.0,406.0,395.0,403.0,42200,401.23
2016-02-10,406.5,408.95,392.0,398.25,93300,396.5
2016-02-11,405.0,405.0,375.0,378.1,219100,376.44
2016-02-12,382.45,384.0,365.0,380.25,89200,378.58
2016-02-15,384.4,401.6,384.4,398.5,65500,396.75
2016-02-16,394.4,400.0,380.0,383.7,36500,382.01
2016-02-17,383.7,396.85,380.0,393.6,67400,391.87
2016-02-18,394.7,397.0,390.25,394.45,28000,392.72
2016-02-19,391.0,398.0,388.0,394.8,26800,393.07
2016-02-22,396.0,398.0,390.0,393.15,30200,391.42
2016-02-23,391.8,393.9,384.3,385.65,23000,383.96
2016-02-24,383.0,384.9,373.05,374.85,38000,373.2
2016-02-25,375.9,379.6,368.0,370.2,20900,368.57
2016-02-26,372.0,375.75,353.6,359.0,91300,357.42
2016-02-29,361.55,364.0,346.2,353.15,81200,351.6
2016-03-01,355.1,381.7,355.1,379.25,95000,377.58
2016-03-02,382.0,397.45,377.0,390.5,60900,388.78
2016-03-03,390.0,395.05,376.6,379.75,78500,378.08
2016-03-04,380.0,385.0,372.15,374.55,91400,372.9
2016-03-07,374.55,374.55,374.55,374.55,0,372.9
2016-03-08,375.0,382.0,367.95,377.15,121000,375.49
2016-03-09,379.8,382.0,374.25,380.05,50500,378.38
2016-03-10,383.05,388.7,379.0,384.0,50900,382.31
2016-03-11,386.9,388.0,380.55,383.0,33700,381.32
2016-03-14,385.0,405.0,384.05,402.95,148900,401.18
2016-03-15,401.5,409.9,394.0,396.9,88400,395.16
2016-03-16,397.0,402.0,390.9,398.05,40100,396.3
2016-03-17,402.15,412.0,394.2,397.9,106900,396.15
2016-03-18,400.0,407.35,393.75,401.75,55500,399.98
2016-03-21,404.0,414.0,400.15,411.55,103600,409.74
2016-03-22,413.3,419.5,410.0,415.75,87900,413.92
2016-03-23,414.1,425.0,410.0,421.7,100300,419.85
2016-03-24,421.7,421.7,421.7,421.7,0,419.85
2016-03-25,421.7,421.7,421.7,421.7,0,419.85
2016-03-28,422.75,425.95,408.0,419.85,67900,418.01
2016-03-29,417.0,424.6,410.1,418.9,63900,417.06
2016-03-30,419.6,446.75,416.0,435.9,163900,433.98
2016-03-31,440.0,444.9,426.3,431.55,205100,429.65
2016-04-01,426.25,447.7,426.25,428.35,114700,426.47
2016-04-04,428.9,439.35,426.2,429.5,57700,427.61
2016-04-05,428.15,434.0,425.0,425.7,35000,423.83
2016-04-06,427.6,430.95,420.65,422.1,41100,420.25
2016-04-07,420.2,425.9,419.5,420.75,33000,418.9
2016-04-08,418.2,434.7,416.55,423.5,65900,421.64
2016-04-11,423.5,434.4,423.5,432.65,44800,430.75
2016-04-12,434.4,441.9,432.1,438.7,57300,436.77
2016-04-13,440.0,454.0,438.5,445.8,165700,443.84
2016-04-14,445.8,445.8,445.8,445.8,0,443.84
2016-04-15,445.8,445.8,445.8,445.8,0,443.84
2016-04-18,445.05,466.5,442.05,462.45,251200,460.42
2016-04-19,462.45,462.45,462.45,462.45,0,460.42
2016-04-20,463.35,472.95,459.5,465.45,170100,463.41
2016-04-21,468.35,468.35,451.15,452.95,78200,450.96
2016-04-22,452.95,453.0,442.2,444.5,62900,442.55
2016-04-25,437.05,449.55,433.0,435.2,66100,433.29
2016-04-26,435.0,440.0,435.0,437.55,114100,435.63
2016-04-27,437.5,442.8,434.0,435.3,70800,433.39
2016-04-28,437.05,440.0,426.3,430.3,78300,428.41
2016-04-29,434.6,435.05,430.0,434.8,25800,432.89
2016-05-02,439.0,449.4,434.0,446.65,636400,444.69
2016-05-03,450.5,474.0,450.5,463.45,532700,461.41
2016-05-04,463.5,467.35,459.25,462.65,133200,460.62
2016-05-05,461.85,466.0,458.1,460.95,72200,458.92
2016-05-06,459.8,481.5,456.35,469.5,328200,467.44
2016-05-09,476.0,478.3,469.05,475.6,213600,473.51
2016-05-10,476.85,494.9,474.45,492.0,397200,489.84
2016-05-11,482.0,527.2,481.6,499.8,673900,497.6
2016-05-12,503.1,513.7,501.35,505.1,194600,502.88
2016-05-13,504.9,507.7,487.0,496.9,168700,494.72
2016-05-16,500.0,502.0,482.0,486.65,291200,484.51
2016-05-17,488.0,503.4,488.0,496.3,123900,494.12
2016-05-18,495.0,515.0,495.0,507.7,382800,505.47
2016-05-19,509.0,519.0,498.4,501.5,173600,499.3
2016-05-20,506.5,506.5,495.0,497.45,63200,495.26
2016-05-23,495.25,505.0,495.0,501.7,108500,499.5
2016-05-24,503.0,519.8,497.6,512.55,274900,510.3
2016-05-25,515.0,524.7,513.25,519.95,225200,517.67
2016-05-26,521.0,545.0,521.0,538.3,492800,535.93
2016-05-27,539.0,547.95,525.2,528.15,139300,525.83
2016-05-30,530.0,539.85,523.0,535.25,83000,532.9
2016-05-31,537.5,542.0,525.35,537.8,55900,535.44
2016-06-01,540.0,565.65,540.0,556.05,209700,553.61
2016-06-02,555.15,570.0,545.65,564.2,104200,561.72
2016-06-03,566.05,579.0,563.1,566.75,244700,564.26
2016-06-06,569.8,569.8,547.0,553.35,111300,550.92
2016-06-07,555.85,571.8,551.1,565.55,89300,563.07
2016-06-08,567.0,574.4,558.25,567.0,139800,564.51
2016-06-09,568.45,571.4,556.15,564.0,57400,561.52
2016-06-10,564.0,569.9,554.05,555.6,60700,553.16
2016-06-13,555.0,555.0,540.1,542.35,117200,539.97
2016-06-14,541.7,564.0,541.7,558.4,114900,555.95
2016-06-15,563.7,584.4,563.65,571.85,210000,569.34
2016-06-16,572.05,578.9,555.35,561.45,153300,558.98
2016-06-17,563.95,567.5,557.0,559.8,90600,557.34
2016-06-20,556.8,565.0,552.0,559.6,73500,557.14
2016-06-21,562.45,564.4,555.0,558.1,66100,555.65
2016-06-22,560.05,561.5,551.0,552.75,49500,550.32
2016-06-23,554.0,564.25,544.5,559.9,84700,557.44
2016-06-24,544.0,549.0,528.5,546.25,153500,543.85
2016-06-27,533.0,557.1,533.0,551.4,102800,551.4
2016-06-28,557.4,566.0,548.1,550.85,125600,550.85
2016-06-29,555.0,558.3,546.0,547.8,155000,547.8
2016-06-30,549.0,570.4,549.0,565.95,181800,565.95
2016-07-01,570.95,598.4,562.2,596.4,331000,596.4
2016-07-04,602.0,630.75,601.0,615.8,684400,615.8
2016-07-05,616.85,619.9,609.2,616.8,130400,616.8
2016-07-06,616.8,616.8,616.8,616.8,0,616.8
2016-07-07,618.0,619.9,606.25,610.65,78800,610.65
2016-07-08,608.0,612.0,601.5,603.65,49800,603.65
2016-07-11,607.05,625.0,607.05,618.05,149000,618.05
2016-07-12,616.1,629.0,602.0,606.35,162600,606.35
2016-07-13,611.0,616.0,602.55,609.05,80800,609.05
2016-07-14,613.9,614.9,606.0,611.55,54800,611.55
2016-07-15,615.0,617.95,609.0,612.3,57200,612.3
2016-07-18,613.8,629.95,612.3,620.0,115000,620.0
2016-07-19,627.5,674.0,625.0,668.9,976600,668.9
2016-07-20,668.35,686.9,665.1,673.75,328600,673.75
2016-07-21,677.8,677.8,665.0,670.75,123200,670.75
2016-07-22,662.0,694.0,662.0,675.45,291500,675.45
2016-07-25,675.0,682.0,663.75,668.7,146600,668.7
2016-07-26,670.0,698.0,670.0,679.25,443100,679.25
2016-07-27,682.0,697.0,681.95,693.25,168800,693.25
2016-07-28,700.0,797.4,698.0,747.4,1603900,747.4
2016-07-29,743.25,755.7,731.1,734.95,412300,734.95
2016-08-01,739.65,774.0,720.0,750.1,505100,750.1
2016-08-02,754.9,758.6,721.55,729.2,278200,729.2
2016-08-03,731.4,733.0,670.0,683.2,590100,683.2
2016-08-04,690.0,722.0,672.0,682.45,738600,682.45
2016-08-05,696.0,720.0,692.35,714.3,403600,714.3
2016-08-08,720.75,756.0,714.7,722.15,481300,722.15
2016-08-09,728.55,732.0,712.25,718.7,216600,718.7
2016-08-10,722.0,725.4,693.25,697.65,200300,697.65
2016-08-11,703.6,703.6,667.65,674.6,217000,674.6
2016-08-12,677.0,689.95,663.0,678.4,196400,678.4
2016-08-15,678.4,678.4,678.4,678.4,0,678.4
2016-08-16,683.7,715.0,678.05,695.5,248500,695.5
2016-08-17,700.3,719.95,696.15,711.85,191500,711.85
2016-08-18,719.75,722.8,710.25,719.4,149800,719.4
2016-08-19,719.4,749.0,714.5,731.3,327600,731.3
2016-08-22,730.0,743.0,720.05,725.2,148300,725.2
2016-08-23,725.0,729.4,714.05,718.75,75800,718.75
2016-08-24,719.0,727.0,716.95,721.0,68200,721.0
2016-08-25,727.6,728.0,704.0,709.95,158400,709.95
2016-08-26,710.05,716.0,689.0,691.15,165300,691.15
2016-08-29,690.0,708.0,679.9,684.25,166700,684.25
2016-08-30,686.6,704.75,686.6,691.2,163000,691.2
2016-08-31,690.0,705.0,690.0,699.9,138400,699.9
2016-09-01,705.5,711.0,700.0,706.7,170600,706.7
2016-09-02,711.0,715.0,702.3,706.25,146700,706.25
2016-09-05,706.25,706.25,706.25,706.25,0,706.25
2016-09-06,709.95,716.0,706.0,709.3,101000,709.3
2016-09-07,714.0,714.0,683.0,691.45,160500,691.45
2016-09-08,691.95,704.9,689.0,694.4,99400,694.4
2016-09-09,698.1,698.6,685.65,689.05,63700,689.05
2016-09-12,679.95,686.4,625.15,664.9,181100,664.9
2016-09-13,664.9,664.9,664.9,664.9,0,664.9
2016-09-14,665.1,685.0,664.0,675.5,135600,675.5
2016-09-15,680.8,687.0,676.0,680.15,74800,680.15
2016-09-16,680.15,698.9,680.0,692.05,112300,692.05
2016-09-19,695.15,702.4,686.1,688.1,71600,688.1
2016-09-20,688.95,693.5,673.85,680.45,55400,680.45
2016-09-21,678.0,684.65,665.1,670.5,91800,670.5
2016-09-22,679.7,722.05,674.6,717.15,505600,717.15
2016-09-23,718.0,732.35,705.0,707.35,360800,707.35
2016-09-26,704.0,709.85,687.2,697.8,124900,697.8
2016-09-27,707.0,718.2,691.25,694.8,154100,694.8
2016-09-28,691.65,711.0,691.65,707.1,144900,707.1
2016-09-29,708.2,714.0,658.0,673.9,315100,673.9
2016-09-30,671.1,700.0,671.1,693.3,112400,693.3
2016-10-03,699.7,729.0,697.25,725.8,369900,725.8
2016-10-04,734.35,746.0,728.0,740.2,347000,740.2
2016-10-05,746.4,746.4,727.0,735.85,132000,735.85
2016-10-06,739.7,771.0,728.0,740.7,357200,740.7
2016-10-07,744.7,755.0,735.6,741.4,104200,741.4
2016-10-10,739.0,765.0,739.0,757.05,186500,757.05
2016-10-11,757.05,757.05,757.05,757.05,0,757.05
2016-10-12,757.05,757.05,757.05,757.05,0,757.05
2016-10-13,757.0,771.0,732.2,742.1,251400,742.1
2016-10-14,742.5,757.4,742.5,753.35,100000,753.35
2016-10-17,755.0,777.2,743.0,755.05,253700,755.05
2016-10-18,757.0,767.0,756.0,761.55,132200,761.55
2016-10-19,760.55,791.0,755.95,763.85,166000,763.85
2016-10-20,769.0,773.0,758.65,764.3,109700,764.3
2016-10-21,766.0,771.0,761.9,766.85,70500,766.85
2016-10-24,770.0,777.45,758.7,761.55,56200,761.55
2016-10-25,763.95,766.7,750.9,752.4,58200,752.4
2016-10-26,752.0,752.2,734.5,738.3,64900,738.3
2016-10-27,738.0,744.7,726.3,729.35,56900,729.35
2016-10-28,729.0,730.0,700.2,704.2,143100,704.2
2016-10-31,704.2,704.2,704.2,704.2,0,704.2
2016-11-01,704.5,721.0,703.95,715.9,103700,715.9
2016-11-02,715.5,715.5,699.0,705.1,61200,705.1
